Austral,**,p74_r92,11/3/2001,47.98,21.66%,no,20.21%,LE07_L1TP_074092_20011103_20170202_01_T1,Train
Austral,**,p75_r92,11/26/2001,51.98,37.61%,no,43.45%,LE07_L1TP_075092_20011126_20170202_01_T1,Test
Austral,**,p76_r92,1/17/2001,48.38,67.56%,no,68.32%,LE07_L1TP_076092_20010117_20170208_01_T1,Test
Austral,**,p226_r98,11/12/2001,43.42,91.32%,no,87.47%,LE07_L1TP_226098_20011112_20170202_01_T1,Test
Austral,**,p227_r98,11/3/2001,41.19,31.84%,no,45.10%,LE07_L1TP_227098_20011103_20170202_01_T1,Train
Austral,**,p228_r95,12/28/2001,48.8,97.62%,no,99.49%,LE07_L1TP_228095_20011228_20170201_01_T1,Train
Austral,**,p228_r96,1/10/2001,46.22,53.58%,no,52.90%,LE07_L1TP_228096_20010110_20170208_01_T1,Train
Austral,**,p230_r92,12/26/2001,51.62,6.08%,yes,2.32%,LE07_L1TP_230092_20011226_20170201_01_T1,Val
Austral,**,p230_r95,12/10/2001,49.79,42.80%,no,55.40%,LE07_L1TP_230095_20011210_20170202_01_T1,Train
Austral,**,p231_r93,5/7/2001,17.35,82.27%,no,89.46%,LE07_L1GT_231093_20010507_20170205_01_T2,Test
Austral,**,p231_r96,1/31/2001,41.64,78.46%,no,87.10%,LE07_L1TP_231096_20010131_20170207_01_T1,Train
Boreal,**,p30_r24,7/26/2001,53.71,94.73%,no,94.73%,LE07_L1TP_030024_20010726_20170204_01_T1,Val
Boreal,**,p40_r18,6/30/2001,51.35,0.00%,no,0.87%,LE07_L1TP_040018_20010630_20170204_01_T1,Train
Boreal,**,p48_r21,6/22/2001,54.95,16.56%,yes,12.27%,LE07_L1TP_048021_20010622_20170205_01_T1,Train
Boreal,**,p54_r19,6/16/2001,52.84,52.55%,no,60.98%,LE07_L1TP_054019_20010616_20170204_01_T1,Train
Boreal,**,p108_r18,7/29/2001,46.93,2.04%,yes,1.42%,LE07_L1TP_108018_20010729_20170204_01_T1,Train
Boreal,**,p120_r28,7/17/2001,59.05,32.15%,no,25.66%,LE07_L1TP_120028_20010717_20170204_01_T1,Val
Boreal,**,p139_r24,8/7/2001,51.06,5.88%,yes,7.53%,LE07_L1TP_139024_20010807_20170204_01_T1,Test
Boreal,**,p143_r21_1,3/12/2001,28.65,69.68%,no,45.94%,LE07_L1TP_143021_20010312_20170206_01_T1,Train
Boreal,**,p143_r21_2,5/31/2001,53.82,45.67%,no,45.59%,LE07_L1TP_143021_20010531_20170205_01_T1,Train
Boreal,**,p143_r21_4,12/25/2001,9.31,33.19%,no,35.93%,LE07_L1TP_143021_20011225_20170201_01_T1,Train
Boreal,**,p177_r23,7/16/2001,54.67,12.63%,no,11.62%,LE07_L1TP_177023_20010716_20170204_01_T1,Test
Boreal,**,p202_r22,4/26/2001,46.91,94.57%,no,95.94%,LE07_L1GT_202022_20010426_20170206_01_T2,Test
Mid.Latitude.North,**,p16_r29,5/21/2001,60.32,60.25%,no,61.00%,LE07_L1TP_016029_20010521_20161001_01_T1,Test
Mid.Latitude.North,**,p23_r29,6/7/2001,62.15,83.05%,no,86.63%,LE07_L1TP_023029_20010607_20161001_01_T1,Train
Mid.Latitude.North,**,p25_r37,6/21/2001,66.27,49.77%,no,26.59%,LE07_L1TP_025037_20010621_20161001_01_T1,Train
Mid.Latitude.North,**,p36_r37,5/1/2001,62.29,0.00%,no,0.00%,LE07_L1TP_036037_20010501_20160930_01_T1,Train
Mid.Latitude.North,**,p46_r32,6/8/2001,64.33,36.53%,no,56.84%,LE07_L1TP_046032_20010608_20161001_01_T1,Test
Mid.Latitude.North,**,p107_r34,7/22/2001,62.34,41.55%,no,64.06%,LE07_L1TP_107034_20010722_20170204_01_T1,Train
Mid.Latitude.North,**,p143_r38,5/31/2001,66.62,80.40%,no,29.59%,LE07_L1TP_143038_20010531_20170205_01_T1,Train
Mid.Latitude.North,**,p144_r32,6/7/2001,64.27,16.04%,yes,11.89%,LE07_L1TP_144032_20010607_20170205_01_T1,Train
Mid.Latitude.North,**,p147_r35,5/11/2001,63.03,8.22%,no,6.75%,LE07_L1TP_147035_20010511_20170205_01_T1,Val
Mid.Latitude.North,**,p154_r34,7/31/2001,60.87,0.00%,no,0.00%,LE07_L1TP_154034_20010731_20170204_01_T1,Train
Mid.Latitude.North,**,p186_r32_2,5/12/2001,61.1,11.12%,no,7.71%,LE07_L1TP_186032_20010512_20170205_01_T1,Train
Mid.Latitude.North,**,p186_r32_4,10/3/2001,41.91,0.00%,no,0.49%,LE07_L1TP_186032_20011003_20170203_01_T1,Train
Mid.Latitude.South,**,p71_r87,10/29/2001,51.87,7.70%,yes,8.14%,LE07_L1TP_071087_20011029_20170202_01_T1,Test
Mid.Latitude.South,**,p72_r88,1/5/2001,53.58,20.32%,no,14.63%,LE07_L1TP_072088_20010105_20170208_01_T1,Train
Mid.Latitude.South,**,p73_r89,12/30/2001,53.43,7.01%,no,1.77%,LE07_L1TP_073089_20011230_20170201_01_T1,Train
Mid.Latitude.South,**,p91_r87_3,7/21/2001,20.98,58.28%,no,23.64%,LE07_L1TP_091087_20010721_20170204_01_T1,Val
Mid.Latitude.South,**,p91_r87_4,11/10/2001,54.47,21.41%,no,23.55%,LE07_L1TP_091087_20011110_20170202_01_T1,Val
Mid.Latitude.South,**,p92_r86,10/16/2001,49.22,70.92%,no,63.17%,LE07_L1TP_092086_20011016_20170202_01_T1,Train
